cpu_usage,memory_usage,net_upload_mbps,net_download_mbps,disk_read_mbps,disk_write_mbps,idle
5.68,49.31,0.48,0.73,1.2,0.31,1
0.97,50.25,0.43,0.6,1.42,0.04,1
12.5,50.3,0.11,0.18,0.37,0.61,1
6.54,50.03,0.15,0.61,0.28,0.58,1
6.9,49.13,0.39,0.2,1.03,1.18,1
9.15,49.74,0.09,0.07,1.9,1.93,1
4.64,49.73,0.05,0.68,0.88,0.24,1
0.61,49.77,0.45,0.26,1.33,0.62,1
8.25,50.56,0.09,0.97,1.55,1.88,1
9.01,50.21,0.46,0.09,0.39,0.09,1
5.89,50.3,0.14,0.83,0.71,0.56,1
2.2,49.7,0.4,0.07,1.97,1.54,1
0.18,48.85,0.41,0.71,1.46,1.54,1
5.44,47.97,0.06,0.86,1.25,0.66,1
4.73,47.92,0.16,0.73,1.28,1.77,1
1.88,47.9,0.36,0.76,1.12,1.54,1
7.89,48.18,0.21,0.03,0.22,0.06,1
4.78,48.69,0.25,0.91,0.5,0.82,1
3.51,49.3,0.04,0.29,0.32,1.86,1
9.54,49.38,0.44,0.8,0.37,1.79,1
12.13,49.24,0.45,0.32,0.22,0.46,1
12.29,48.68,0.43,0.01,1.02,0.83,1
1.89,49.09,0.17,0.94,0.65,1.04,1
5.52,48.69,0.49,0.96,0.5,0.99,1
4.34,48.25,0.02,0.61,1.01,0.1,1
13.63,47.73,0.12,0.14,0.98,1.97,1
10.11,48.0,0.38,0.24,1.46,0.74,1
9.54,47.37,0.27,0.09,1.67,0.64,1
0.71,46.82,0.3,0.68,0.03,1.02,1
9.71,46.1,0.09,0.69,0.77,1.87,1
5.18,46.42,0.06,0.92,1.75,0.52,1
12.28,47.21,0.28,0.53,0.48,0.19,1
13.52,48.01,0.32,0.34,0.7,1.45,1
13.32,48.8,0.39,0.64,0.17,0.32,1
9.14,48.12,0.0,0.1,1.33,0.01,1
8.28,47.6,0.35,0.65,0.45,1.42,1
4.95,47.74,0.37,0.65,1.7,1.32,1
1.5,47.52,0.18,0.27,0.49,1.95,1
13.39,47.51,0.32,0.79,1.01,1.15,1
3.01,46.86,0.36,0.28,0.05,1.29,1
14.11,47.72,0.48,0.91,0.74,0.03,1
6.48,47.49,0.48,0.96,1.71,0.59,1
12.78,47.88,0.16,0.17,1.11,1.87,1
8.59,47.92,0.05,0.62,1.98,0.28,1
13.17,47.5,0.37,0.7,1.4,0.72,1
12.16,47.51,0.41,0.87,1.83,1.02,1
11.99,47.18,0.32,0.7,1.59,1.78,1
5.7,47.27,0.05,0.58,0.07,0.93,1
4.37,46.99,0.3,0.03,0.07,1.65,1
1.99,46.16,0.26,0.77,0.43,1.25,1
23.88,47.11,11.1,56.36,33.68,37.67,0
58.72,46.27,7.14,80.54,17.19,24.75,0
21.9,45.61,19.29,84.42,36.32,23.4,0
31.73,45.17,5.75,57.18,37.16,34.71,0
91.61,44.67,15.02,57.66,32.53,23.88,0
46.7,43.75,15.4,6.37,10.22,7.07,0
84.16,43.7,14.37,50.05,9.4,27.12,0
32.99,42.79,9.24,42.86,32.71,33.58,0
48.1,42.11,12.89,52.8,43.54,34.64,0
25.29,42.27,13.21,7.52,31.36,47.31,0
49.11,42.04,13.22,48.53,29.55,47.37,0
92.09,41.07,18.2,23.6,8.12,9.54,0
27.08,40.12,13.98,11.76,19.35,43.02,0
81.09,40.88,6.36,16.23,36.35,33.3,0
75.13,41.49,16.27,31.79,12.98,38.78,0
94.29,42.35,8.84,40.34,39.94,20.34,0
84.38,43.16,9.15,76.33,38.95,9.64,0
57.89,42.18,16.7,35.4,45.3,22.51,0
87.9,42.32,2.73,35.33,47.75,47.78,0
67.39,42.83,9.52,32.86,19.79,35.26,0
79.37,42.93,16.0,13.66,27.25,7.59,0
53.11,43.45,17.87,38.34,10.27,11.43,0
66.37,44.09,2.92,12.99,36.54,8.27,0
72.97,43.84,2.55,13.06,49.4,21.84,0
80.96,43.0,19.0,98.67,38.9,21.93,0
78.29,42.99,11.61,45.3,45.79,10.0,0
20.85,43.29,9.9,10.35,10.35,10.29,0
75.95,44.02,12.08,96.41,21.87,17.86,0
36.77,44.81,19.3,6.15,48.64,6.94,0
59.58,44.85,19.87,12.01,29.92,48.62,0
67.2,45.65,14.22,48.18,33.24,31.29,0
23.41,45.89,6.34,95.29,45.06,25.5,0
40.8,45.05,4.57,49.05,20.9,31.26,0
93.08,45.68,19.74,71.33,29.12,18.93,0
71.35,46.13,4.09,91.54,42.01,47.74,0
66.01,45.18,8.95,93.61,43.97,7.03,0
48.23,44.94,16.4,98.79,11.77,31.74,0
92.74,44.49,17.0,84.64,26.09,23.67,0
24.23,44.6,17.43,82.23,49.99,49.85,0
77.67,43.86,18.95,85.72,16.13,25.27,0
91.55,43.58,12.52,26.72,35.23,32.82,0
28.52,44.28,13.76,54.43,39.75,28.41,0
61.39,43.34,11.66,88.28,23.16,11.03,0
76.64,42.37,12.79,71.89,14.58,11.14,0
46.29,42.06,12.21,42.26,24.69,45.69,0
58.55,42.96,15.89,42.67,32.99,43.81,0
31.03,43.92,18.61,51.75,16.62,25.66,0
56.95,43.18,7.25,65.17,15.81,8.41,0
29.6,42.87,3.89,18.19,33.84,13.18,0
87.26,41.95,10.01,68.42,12.75,13.65,0
2.62,41.88,0.14,0.18,0.18,0.24,1
3.17,42.47,0.18,0.5,1.38,0.08,1
9.46,42.03,0.04,0.87,1.84,0.12,1
12.11,42.0,0.37,0.18,0.42,0.74,1
9.31,41.5,0.18,0.46,1.49,0.07,1
10.73,41.4,0.45,0.51,1.06,0.21,1
8.04,41.04,0.12,0.27,0.75,0.04,1
3.25,41.4,0.16,0.12,1.78,1.19,1
11.86,41.89,0.25,0.09,1.07,1.17,1
6.53,42.03,0.06,0.28,0.73,1.29,1
5.41,41.34,0.49,0.61,0.47,0.2,1
3.76,42.13,0.08,0.19,0.57,0.35,1
1.3,41.93,0.26,0.41,1.96,0.22,1
14.55,42.26,0.43,0.82,0.52,0.34,1
13.95,41.64,0.28,0.57,0.56,1.54,1
4.92,41.86,0.21,0.51,0.48,0.23,1
4.4,40.96,0.29,0.15,0.96,1.07,1
5.12,41.58,0.07,0.06,1.98,0.64,1
3.89,41.41,0.34,0.76,1.19,0.94,1
5.3,41.87,0.46,0.83,1.93,0.25,1
14.08,42.55,0.09,0.07,1.48,1.15,1
2.18,43.18,0.4,0.2,0.33,0.33,1
10.01,43.81,0.26,0.36,1.75,0.78,1
6.64,43.82,0.19,0.46,0.6,1.5,1
3.56,44.07,0.45,0.38,1.09,1.81,1
1.84,44.66,0.47,0.63,0.67,0.28,1
9.34,44.28,0.27,0.89,1.58,0.3,1
3.8,45.03,0.37,0.03,1.14,1.52,1
5.2,44.83,0.41,0.11,1.69,0.25,1
11.98,45.11,0.07,0.23,1.44,1.44,1
10.44,45.93,0.27,0.25,0.69,0.36,1
8.79,46.1,0.2,0.46,1.89,0.31,1
7.64,46.23,0.31,0.02,1.74,1.86,1
10.48,46.44,0.46,0.71,0.31,1.15,1
6.42,45.67,0.37,0.93,1.85,0.9,1
14.77,45.71,0.42,0.12,1.84,1.74,1
8.91,44.72,0.2,0.05,0.67,1.61,1
5.07,44.41,0.2,0.54,1.84,0.69,1
11.09,43.76,0.23,0.22,0.9,0.28,1
7.53,44.03,0.21,0.91,0.72,1.16,1
0.3,43.86,0.33,0.18,1.92,0.3,1
1.37,44.36,0.5,0.5,1.19,0.13,1
3.23,44.3,0.45,0.21,0.38,0.07,1
8.52,44.18,0.03,0.78,0.91,1.05,1
6.07,45.07,0.28,0.16,0.36,1.72,1
5.66,44.39,0.14,0.64,0.82,0.05,1
10.77,44.73,0.33,0.03,0.44,0.46,1
0.39,44.21,0.05,0.8,0.36,1.31,1
1.58,44.0,0.12,0.72,1.71,1.66,1
10.05,43.17,0.1,0.29,1.79,0.03,1
35.59,43.96,1.5,22.24,31.24,23.96,0
81.31,43.49,7.49,29.65,22.09,31.56,0
66.81,44.39,8.78,57.44,24.63,18.25,0
77.27,44.99,3.66,87.5,26.93,45.25,0
51.89,44.51,1.43,30.52,29.37,33.51,0
30.45,44.05,16.86,98.52,28.66,12.73,0
21.38,44.16,18.37,16.19,30.94,17.33,0
68.86,44.96,16.77,24.61,5.49,11.16,0
85.54,45.79,12.35,62.05,34.93,12.89,0
51.41,46.26,8.28,54.3,7.11,12.48,0
26.21,45.98,12.46,28.31,22.52,17.99,0
73.93,46.85,6.65,58.81,26.42,34.87,0
74.94,45.95,5.08,7.96,16.8,31.78,0
57.23,45.1,12.34,36.75,39.69,9.8,0
74.61,45.74,10.41,70.4,24.57,16.09,0
79.96,44.92,14.2,30.85,31.56,21.24,0
88.8,45.01,3.6,95.27,25.07,13.33,0
85.47,45.71,14.91,81.62,34.65,36.15,0
38.73,44.78,10.3,26.01,49.45,47.48,0
72.92,43.85,18.58,22.15,30.56,46.2,0
72.31,43.8,6.65,92.82,48.7,47.49,0
84.65,43.99,17.05,35.31,42.3,6.67,0
37.25,44.44,3.29,12.31,36.33,20.29,0
24.9,44.69,6.99,56.25,40.58,19.34,0
86.45,43.74,12.7,27.13,6.1,44.15,0
85.6,43.44,11.05,94.21,40.95,49.91,0
77.54,44.41,8.64,50.59,33.24,44.32,0
77.62,43.63,8.94,45.03,38.19,15.74,0
46.6,42.66,6.46,33.15,15.51,6.89,0
94.08,43.56,9.13,41.51,35.58,14.82,0
78.98,43.5,2.7,44.67,44.56,47.51,0
66.01,43.8,4.17,99.16,15.43,47.42,0
65.58,43.17,10.74,26.91,12.94,14.92,0
78.47,44.03,7.65,10.5,48.61,44.77,0
94.62,43.33,4.3,42.64,39.12,36.32,0
81.19,43.49,5.26,26.26,29.16,31.68,0
26.86,44.41,17.67,30.23,10.83,44.99,0
84.66,44.22,16.38,67.25,29.79,8.91,0
47.95,43.66,5.94,73.72,27.31,8.65,0
71.24,43.85,2.45,85.86,27.28,26.63,0
81.85,44.6,7.61,69.41,30.46,17.02,0
79.81,45.28,13.51,85.81,44.03,36.88,0
72.31,46.04,13.92,63.77,38.87,12.14,0
85.39,46.53,1.56,83.45,10.8,20.08,0
32.06,46.1,16.54,84.05,27.84,5.29,0
66.27,46.18,19.64,65.02,16.69,33.53,0
78.49,45.87,3.03,77.3,29.36,48.33,0
67.45,45.0,18.71,14.74,47.18,35.95,0
42.57,45.24,14.46,11.4,31.2,20.56,0
23.43,44.5,17.56,97.48,48.6,38.73,0
11.4,45.04,0.01,0.02,0.65,0.98,1
10.28,44.95,0.22,0.27,1.99,0.85,1
2.54,45.31,0.4,0.69,0.44,0.16,1
9.85,46.19,0.14,0.95,0.3,0.86,1
6.35,46.01,0.32,0.4,0.55,1.97,1
13.42,45.75,0.11,0.21,0.06,1.3,1
12.98,46.3,0.24,0.97,0.37,1.74,1
11.59,45.37,0.42,0.76,1.25,0.26,1
13.82,44.62,0.31,0.8,0.96,0.23,1
10.31,44.78,0.22,0.2,0.98,0.13,1
4.11,43.93,0.4,0.31,0.91,0.02,1
5.95,44.65,0.24,0.6,0.58,1.39,1
11.72,45.62,0.02,0.48,0.21,0.48,1
2.22,44.64,0.25,0.62,1.4,1.12,1
4.96,43.8,0.26,0.09,0.7,0.07,1
6.01,43.2,0.07,0.57,1.38,1.6,1
2.6,44.07,0.05,0.64,1.41,0.06,1
0.87,44.67,0.27,0.71,1.74,1.43,1
5.16,45.31,0.41,0.08,1.79,1.1,1
6.84,44.43,0.32,0.53,1.46,0.16,1
3.78,44.1,0.08,0.87,0.44,1.95,1
2.81,44.54,0.39,0.66,1.0,1.11,1
3.5,44.9,0.5,0.97,1.3,0.4,1
1.18,45.36,0.02,0.26,0.93,1.74,1
11.17,44.44,0.21,0.35,0.74,1.98,1
13.02,45.18,0.29,0.44,1.45,0.97,1
13.52,44.6,0.21,0.28,1.18,1.82,1
9.38,45.42,0.32,0.73,0.26,1.43,1
2.78,45.41,0.12,0.97,0.36,1.71,1
3.78,45.59,0.44,0.45,1.03,0.72,1
2.54,45.24,0.2,0.97,0.52,1.31,1
11.62,44.39,0.07,0.97,0.91,0.47,1
2.63,43.89,0.26,0.34,1.66,0.86,1
9.3,44.36,0.35,0.17,0.34,0.07,1
9.99,45.1,0.24,0.84,1.61,1.17,1
3.17,45.97,0.06,0.27,0.11,1.06,1
0.69,45.99,0.06,0.45,1.87,0.63,1
0.72,46.89,0.07,0.99,1.93,0.01,1
9.62,47.22,0.43,0.45,1.03,0.98,1
2.18,47.57,0.01,0.31,1.41,0.4,1
14.55,46.92,0.05,0.67,0.89,1.74,1
10.42,47.16,0.42,0.94,1.37,0.99,1
13.05,47.51,0.29,0.03,1.86,1.38,1
3.31,47.83,0.33,0.39,1.3,0.21,1
14.99,48.39,0.02,0.98,0.81,1.74,1
8.55,48.73,0.37,0.88,0.81,0.65,1
12.14,47.97,0.38,0.8,0.87,1.64,1
8.21,48.36,0.0,0.32,0.73,0.79,1
5.89,47.51,0.22,0.24,0.75,0.45,1
9.09,48.23,0.33,0.62,0.93,0.76,1
58.93,48.03,10.1,7.44,20.36,22.11,0
63.51,48.47,11.14,62.75,39.42,41.58,0
91.66,49.26,1.35,23.6,5.34,34.14,0
38.26,48.47,18.61,10.73,47.05,20.82,0
56.44,48.54,5.88,32.06,18.83,41.14,0
43.35,47.79,12.6,73.03,17.27,23.61,0
33.59,47.0,13.94,22.24,28.63,36.91,0
62.55,47.1,5.87,96.48,26.76,41.27,0
23.26,47.87,13.03,95.38,32.07,41.86,0
37.11,48.67,5.03,63.04,23.5,42.79,0
46.51,48.52,5.5,79.15,17.37,42.02,0
70.07,47.85,2.82,64.27,25.33,31.4,0
75.27,48.14,17.39,25.59,9.31,6.06,0
